time,latitude,longitude,ugrd10m,time_run,vgrd10m,WS,WD
2023-11-28 12:00:00,0.0,0.0,-2.0572655,2023-11-27 12:00:00,3.8046653,4.3253,118.4
2023-11-28 12:00:00,0.0,0.5,-2.0072656,2023-11-27 12:00:00,3.8746655,4.3637,117.39
2023-11-28 12:00:00,0.0,1.0,-1.8672656,2023-11-27 12:00:00,4.4546657,4.8302,112.74
2023-11-28 12:00:00,0.0,1.5,-1.0472656,2023-11-27 12:00:00,4.3646655,4.4885,103.49
2023-11-28 12:00:00,0.0,2.0,-1.9972656,2023-11-27 12:00:00,4.3846655,4.8181,114.49
2023-11-28 12:00:00,0.0,2.5,-2.0672655,2023-11-27 12:00:00,4.5046654,4.9564,114.65
2023-11-28 12:00:00,0.0,3.0,-1.3772656,2023-11-27 12:00:00,4.3746653,4.5863,107.48
2023-11-28 12:00:00,0.0,3.5,-1.0072656,2023-11-27 12:00:00,4.3146653,4.4307,103.14
2023-11-28 12:00:00,0.0,4.0,-1.3472656,2023-11-27 12:00:00,4.2646656,4.4724,107.53
2023-11-28 12:00:00,0.0,4.5,-1.1372656,2023-11-27 12:00:00,4.2746654,4.4234,104.9
2023-11-28 12:00:00,0.0,5.0,-0.8372656,2023-11-27 12:00:00,4.2546654,4.3363,101.13
2023-11-28 12:00:00,0.0,5.5,-1.4172655,2023-11-27 12:00:00,3.9946654,4.2386,109.53
2023-11-28 12:00:00,0.0,6.0,-1.3472656,2023-11-27 12:00:00,4.0746655,4.2916,108.3
2023-11-28 12:00:00,0.0,6.5,-1.1072656,2023-11-27 12:00:00,3.9446654,4.0971,105.68
2023-11-28 12:00:00,0.0,7.0,-0.5472656,2023-11-27 12:00:00,4.1946654,4.2302,97.43
2023-11-28 12:00:00,0.0,7.5,-0.9172656,2023-11-27 12:00:00,3.9446654,4.0499,103.09
2023-11-28 12:00:00,0.0,8.0,-0.7172656,2023-11-27 12:00:00,3.7246654,3.7931,100.9
2023-11-28 12:00:00,0.0,8.5,-0.47726563,2023-11-27 12:00:00,3.6446655,3.6758,97.46
2023-11-28 12:00:00,0.0,9.0,-0.9372656,2023-11-27 12:00:00,3.0546656,3.1952,107.06
2023-11-28 12:00:00,0.0,9.5,-0.4272656,2023-11-27 12:00:00,2.3146656,2.3538,100.46
2023-11-28 12:00:00,0.0,10.0,-0.23726562,2023-11-27 12:00:00,1.8146654,1.8301,97.45
2023-11-28 12:00:00,0.0,10.5,0.6027344,2023-11-27 12:00:00,1.7046655,1.8081,70.53
2023-11-28 12:00:00,0.0,11.0,1.7327343,2023-11-27 12:00:00,1.5546654,2.328,41.9
2023-11-28 12:00:00,0.0,11.5,0.70273435,2023-11-27 12:00:00,1.5946655,1.7426,66.22
2023-11-28 12:00:00,0.0,12.0,1.9627343,2023-11-27 12:00:00,1.5246655,2.4853,37.84
2023-11-28 12:00:00,0.0,12.5,1.8427343,2023-11-27 12:00:00,1.0246655,2.1085,29.08
2023-11-28 12:00:00,0.0,13.0,1.0827343,2023-11-27 12:00:00,1.3346655,1.7186,50.95
2023-11-28 12:00:00,0.0,13.5,1.7427343,2023-11-27 12:00:00,1.3746655,2.2196,38.27
2023-11-28 12:00:00,0.0,14.0,1.4127344,2023-11-27 12:00:00,1.2046655,1.8566,40.45
2023-11-28 12:00:00,0.0,14.5,1.2427343,2023-11-27 12:00:00,1.7146655,2.1177,54.07
2023-11-28 12:00:00,0.0,15.0,1.7527343,2023-11-27 12:00:00,0.64466554,1.8675,20.19
2023-11-28 12:00:00,0.0,15.5,1.6827344,2023-11-27 12:00:00,0.6146655,1.7915,20.07
2023-11-28 12:00:00,0.0,16.0,1.0627344,2023-11-27 12:00:00,0.8646655,1.3701,39.13
2023-11-28 12:00:00,0.0,16.5,1.2827344,2023-11-27 12:00:00,1.1846654,1.7461,42.72
2023-11-28 12:00:00,0.0,17.0,0.7327344,2023-11-27 12:00:00,0.8946655,1.1564,50.68
2023-11-28 12:00:00,0.0,17.5,0.38273436,2023-11-27 12:00:00,0.6346655,0.7411,58.91
2023-11-28 12:00:00,0.0,18.0,0.36273438,2023-11-27 12:00:00,1.7846655,1.8212,78.51
2023-11-28 12:00:00,0.0,18.5,0.45273435,2023-11-27 12:00:00,1.2146655,1.2963,69.56
2023-11-28 12:00:00,0.0,19.0,0.70273435,2023-11-27 12:00:00,1.4646655,1.6245,64.37
2023-11-28 12:00:00,0.0,19.5,0.52273434,2023-11-27 12:00:00,1.5846655,1.6687,71.74
2023-11-28 12:00:00,0.0,20.0,0.72273433,2023-11-27 12:00:00,1.5046655,1.6692,64.34
2023-11-28 12:00:00,0.0,20.5,1.7027344,2023-11-27 12:00:00,0.9146655,1.9329,28.24
2023-11-28 12:00:00,0.0,21.0,0.63273436,2023-11-27 12:00:00,2.1946654,2.2841,73.92
2023-11-28 12:00:00,0.0,21.5,0.27273437,2023-11-27 12:00:00,1.4746655,1.4997,79.52
2023-11-28 12:00:00,0.0,22.0,0.22273438,2023-11-27 12:00:00,0.08466552,0.2383,20.81
2023-11-28 12:00:00,0.0,22.5,1.1427344,2023-11-27 12:00:00,0.20466553,1.1609,10.15
2023-11-28 12:00:00,0.0,23.0,-0.48726562,2023-11-27 12:00:00,2.0246656,2.0825,103.53
2023-11-28 12:00:00,0.0,23.5,-1.0172656,2023-11-27 12:00:00,0.9746655,1.4088,136.23
2023-11-28 12:00:00,0.0,24.0,1.0527344,2023-11-27 12:00:00,1.0846655,1.5115,45.86
2023-11-28 12:00:00,0.0,24.5,-0.5272656,2023-11-27 12:00:00,0.054665525,0.5301,174.08
2023-11-28 12:00:00,0.0,25.0,0.63273436,2023-11-27 12:00:00,0.034665525,0.6337,3.14
2023-11-28 12:00:00,0.0,25.5,0.89273435,2023-11-27 12:00:00,-0.5253345,1.0358,-30.47
